"Timestamp","Age","Gender","Monthly Income","Education Level","Employement Status","I understand the environmental impact of fashion products.","I consider sustainability when buying fashion products.","I believe consumers should support sustainable fashion.","I question sustainability claims made by fashion brands.","I believe some fashion brands exaggerate their green claims.","I look for evidence before trusting sustainability statements.","Sustainable fashion reflects my personal values.","I use fashion choices to express my identity.","I feel connected with people who support sustainable fashion.","I trust eco-labels on sustainable fashion products.","I believe certified eco-labels provide reliable information.","Eco-labels help me choose sustainable fashion products.","The price of sustainable fashion affects my buying decisions.","Limited availability makes it difficult to buy sustainable fashion.","Style choices influence my decision to buy sustainable fashion.","I regularly buy sustainable fashion products.","I choose sustainable fashion brands when available.","I intend to continue purchasing sustainable fashion products.","I am willing to pay more for sustainable fashion products.","I accept higher prices for environmentally friendly clothing.","I would choose sustainable fashion even if it costs more."
"2026/08/31 3:37:18 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/08/31 3:38:10 pm CET","25–34 years","Female","£2,000–£2,999","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/31 3:39:04 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/31 3:39:58 pm CET","25–34 years","Male","£1,000–£1,999","Master’s Degree","Employed full time","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree"
"2026/08/31 3:41:00 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/31 3:41:52 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Disagree","Disagree"
"2026/08/31 3:42:44 pm CET","18 - 24 years","Male","Less than £1,000","Bachelor’s Degree","Unemployed","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree"
"2026/08/31 3:43:33 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/08/31 3:44:24 pm CET","18 - 24 years","Female","Less than £1,000","Bachelor’s Degree","Student","Strongly Agree","Strongly Agree","Agree","Strongly agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Strongly Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/31 3:45:26 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/31 3:46:20 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/31 3:47:16 pm CET","25–34 years","Female","£2,000–£2,999","Master’s Degree","Employed full time","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/31 3:48:09 pm CET","18 - 24 years","Male","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/31 3:48:59 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/31 3:49:55 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/31 3:50:43 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/31 3:51:40 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/31 3:52:35 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/31 3:53:36 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/31 3:54:26 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/31 3:55:20 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/31 3:56:17 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Disagree","Strongly Disagree"
"2026/08/31 3:57:13 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/31 3:58:00 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Disagree","Disagree"
"2026/08/31 3:58:49 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree"
"2026/08/31 3:59:41 pm CET","18 - 24 years","Male","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/31 4:00:40 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Disagree","Disagree"
"2026/08/31 4:01:37 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree"
"2026/08/31 4:02:31 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/08/31 4:03:23 pm CET","18 - 24 years","Male","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"2026/09/01 3:30:02 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Disagree","Disagree"
"2026/09/01 3:46:20 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/09/01 3:47:16 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 3:48:47 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/09/01 3:58:28 pm CET","18 - 24 years","Female","£1,000–£1,999","Master’s Degree","Employed full time","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree"
"2026/09/01 3:59:23 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Strongly Agree","Strongly agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/09/01 4:00:19 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/09/01 4:01:21 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/09/01 4:02:21 pm CET","18 - 24 years","Male","Prefer not to say","Bachelor’s Degree","Student","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/09/01 4:03:17 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Strongly Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree"
"2026/09/01 4:04:36 pm CET","25–34 years","Female","£1,000–£1,999","Doctoral Degree or above","Retired","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree"
"2026/09/01 4:06:32 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/09/01 4:07:24 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 4:08:25 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/09/01 4:09:18 pm CET","25–34 years","Female","£2,000–£2,999","Master’s Degree","Employed full time","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Agree","Neither Agree nor Disagree"
"2026/09/01 4:10:15 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree"
"2026/09/01 4:11:07 pm CET","18 - 24 years","Male","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"2026/09/01 4:12:01 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"2026/09/01 4:12:55 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/09/01 4:13:44 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree"
"2026/09/01 4:14:36 pm CET","25–34 years","Male","£1,000–£1,999","Bachelor’s Degree","Employed full time","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Neither Agree nor Disagree","Agree","Disagree","Agree","Agree"
"2026/09/01 4:15:28 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 4:16:23 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/09/01 4:17:15 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree"
"2026/09/01 4:18:05 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"2026/09/01 4:18:58 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree"
"2026/09/01 4:19:52 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Strongly Agree","Agree","Strongly agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/09/01 4:20:46 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/09/01 4:21:54 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 4:22:58 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/09/01 4:24:39 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree"
"2026/09/01 4:25:36 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/09/01 4:27:01 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 4:27:53 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly agree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/09/01 4:28:45 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 4:29:43 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly agree"
"2026/09/01 4:30:38 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 4:31:28 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/09/01 4:32:21 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 4:33:12 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 4:34:40 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/09/01 4:35:29 pm CET","18 - 24 years","Male","£2,000–£2,999","Master’s Degree","Employed full time","Strongly Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Strongly Agree","Agree","Agree","Agree","Agree","Agree"
"2026/09/01 4:36:22 pm CET","18 - 24 years","Male","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/09/01 4:37:15 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Strongly agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/09/01 4:38:11 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 4:39:09 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 4:40:20 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 4:41:09 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/09/01 4:42:10 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree"
"2026/09/01 4:43:06 pm CET","25–34 years","Female","£1,000–£1,999","Master’s Degree","Employed full time","Strongly Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/09/01 4:54:15 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Disagree","Disagree"
"2026/09/01 4:56:40 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 4:57:32 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
